#Time=   0.400000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.212179E-01   0.212116E-01   0.200000E-01   0.212179E-01   0.212116E-01
   0.400000E-01   0.424310E-01   0.424185E-01   0.400000E-01   0.424310E-01   0.424185E-01
   0.600000E-01   0.636346E-01   0.636158E-01   0.600000E-01   0.636346E-01   0.636158E-01
   0.800000E-01   0.848238E-01   0.847988E-01   0.800000E-01   0.848238E-01   0.847988E-01
   0.100000       0.105994       0.105963       0.100000       0.105994       0.105963    
   0.120000       0.127140       0.127103       0.120000       0.127140       0.127103    
   0.140000       0.148259       0.148216       0.140000       0.148259       0.148216    
   0.160000       0.169344       0.169296       0.160000       0.169344       0.169296    
   0.180000       0.190393       0.190339       0.180000       0.190393       0.190339    
   0.200000       0.211401       0.211342       0.200000       0.211401       0.211342    
   0.220000       0.232364       0.232300       0.220000       0.232364       0.232300    
   0.240000       0.253278       0.253209       0.240000       0.253278       0.253209    
   0.260000       0.274140       0.274066       0.260000       0.274140       0.274066    
   0.280000       0.294945       0.294868       0.280000       0.294945       0.294868    
   0.300000       0.315692       0.315611       0.300000       0.315692       0.315611    
   0.320000       0.336377       0.336292       0.320000       0.336377       0.336292    
   0.340000       0.356997       0.356909       0.340000       0.356997       0.356909    
   0.360000       0.377551       0.377460       0.360000       0.377551       0.377460    
   0.380000       0.398035       0.397941       0.380000       0.398035       0.397941    
   0.400000       0.418447       0.418352       0.400000       0.418447       0.418352    
   0.420000       0.438787       0.438690       0.420000       0.438787       0.438690    
   0.440000       0.459053       0.458955       0.440000       0.459053       0.458955    
   0.460000       0.479244       0.479144       0.460000       0.479244       0.479144    
   0.480000       0.499358       0.499258       0.480000       0.499358       0.499258    
   0.500000       0.519397       0.519296       0.500000       0.519397       0.519296    
   0.520000       0.539358       0.539258       0.520000       0.539358       0.539258    
   0.540000       0.559244       0.559144       0.540000       0.559244       0.559144    
   0.560000       0.579053       0.578955       0.560000       0.579053       0.578955    
   0.580000       0.598787       0.598690       0.580000       0.598787       0.598690    
   0.600000       0.618447       0.618352       0.600000       0.618447       0.618352    
   0.620000       0.638035       0.637941       0.620000       0.638035       0.637941    
   0.640000       0.657551       0.657460       0.640000       0.657551       0.657460    
   0.660000       0.676997       0.676909       0.660000       0.676997       0.676909    
   0.680000       0.696377       0.696292       0.680000       0.696377       0.696292    
   0.700000       0.715692       0.715611       0.700000       0.715692       0.715611    
   0.720000       0.734945       0.734868       0.720000       0.734945       0.734868    
   0.740000       0.754140       0.754066       0.740000       0.754140       0.754066    
   0.760000       0.773278       0.773209       0.760000       0.773278       0.773209    
   0.780000       0.792364       0.792300       0.780000       0.792364       0.792300    
   0.800000       0.811401       0.811342       0.800000       0.811401       0.811342    
   0.820000       0.830393       0.830339       0.820000       0.830393       0.830339    
   0.840000       0.849344       0.849296       0.840000       0.849344       0.849296    
   0.860000       0.868259       0.868216       0.860000       0.868259       0.868216    
   0.880000       0.887140       0.887103       0.880000       0.887140       0.887103    
   0.900000       0.905994       0.905963       0.900000       0.905994       0.905963    
   0.920000       0.924824       0.924799       0.920000       0.924824       0.924799    
   0.940000       0.943635       0.943616       0.940000       0.943635       0.943616    
   0.960000       0.962431       0.962418       0.960000       0.962431       0.962418    
   0.980000       0.981218       0.981212       0.980000       0.981218       0.981212    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
