#Time=    1.00000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200033E-01   0.200032E-01   0.200000E-01   0.200033E-01   0.200032E-01
   0.400000E-01   0.400066E-01   0.400065E-01   0.400000E-01   0.400066E-01   0.400065E-01
   0.600000E-01   0.600098E-01   0.600097E-01   0.600000E-01   0.600098E-01   0.600097E-01
   0.800000E-01   0.800130E-01   0.800129E-01   0.800000E-01   0.800130E-01   0.800129E-01
   0.100000       0.100016       0.100016       0.100000       0.100016       0.100016    
   0.120000       0.120019       0.120019       0.120000       0.120019       0.120019    
   0.140000       0.140022       0.140022       0.140000       0.140022       0.140022    
   0.160000       0.160025       0.160025       0.160000       0.160025       0.160025    
   0.180000       0.180028       0.180028       0.180000       0.180028       0.180028    
   0.200000       0.200031       0.200030       0.200000       0.200031       0.200030    
   0.220000       0.220033       0.220033       0.220000       0.220033       0.220033    
   0.240000       0.240036       0.240035       0.240000       0.240036       0.240035    
   0.260000       0.260038       0.260038       0.260000       0.260038       0.260038    
   0.280000       0.280040       0.280040       0.280000       0.280040       0.280040    
   0.300000       0.300042       0.300042       0.300000       0.300042       0.300042    
   0.320000       0.320044       0.320044       0.320000       0.320044       0.320044    
   0.340000       0.340046       0.340045       0.340000       0.340046       0.340045    
   0.360000       0.360047       0.360047       0.360000       0.360047       0.360047    
   0.380000       0.380049       0.380048       0.380000       0.380049       0.380048    
   0.400000       0.400050       0.400049       0.400000       0.400050       0.400049    
   0.420000       0.420051       0.420050       0.420000       0.420051       0.420050    
   0.440000       0.440051       0.440051       0.440000       0.440051       0.440051    
   0.460000       0.460052       0.460051       0.460000       0.460052       0.460051    
   0.480000       0.480052       0.480052       0.480000       0.480052       0.480052    
   0.500000       0.500052       0.500052       0.500000       0.500052       0.500052    
   0.520000       0.520052       0.520052       0.520000       0.520052       0.520052    
   0.540000       0.540052       0.540051       0.540000       0.540052       0.540051    
   0.560000       0.560051       0.560051       0.560000       0.560051       0.560051    
   0.580000       0.580051       0.580050       0.580000       0.580051       0.580050    
   0.600000       0.600050       0.600049       0.600000       0.600050       0.600049    
   0.620000       0.620049       0.620048       0.620000       0.620049       0.620048    
   0.640000       0.640047       0.640047       0.640000       0.640047       0.640047    
   0.660000       0.660046       0.660045       0.660000       0.660046       0.660045    
   0.680000       0.680044       0.680044       0.680000       0.680044       0.680044    
   0.700000       0.700042       0.700042       0.700000       0.700042       0.700042    
   0.720000       0.720040       0.720040       0.720000       0.720040       0.720040    
   0.740000       0.740038       0.740038       0.740000       0.740038       0.740038    
   0.760000       0.760036       0.760035       0.760000       0.760036       0.760035    
   0.780000       0.780033       0.780033       0.780000       0.780033       0.780033    
   0.800000       0.800031       0.800030       0.800000       0.800031       0.800030    
   0.820000       0.820028       0.820028       0.820000       0.820028       0.820028    
   0.840000       0.840025       0.840025       0.840000       0.840025       0.840025    
   0.860000       0.860022       0.860022       0.860000       0.860022       0.860022    
   0.880000       0.880019       0.880019       0.880000       0.880019       0.880019    
   0.900000       0.900016       0.900016       0.900000       0.900016       0.900016    
   0.920000       0.920013       0.920013       0.920000       0.920013       0.920013    
   0.940000       0.940010       0.940010       0.940000       0.940010       0.940010    
   0.960000       0.960007       0.960006       0.960000       0.960007       0.960006    
   0.980000       0.980003       0.980003       0.980000       0.980003       0.980003    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
