# Iteration  RMSerrUS  RMSerrSS
     1   0.713996       0.713996    
     2   0.713707       0.713707    
     3   0.713417       0.713417    
     4   0.713128       0.713128    
     5   0.712839       0.712839    
     6   0.712550       0.712550    
     7   0.712261       0.712261    
     8   0.711973       0.711973    
     9   0.711684       0.711684    
    10   0.711396       0.711396    
    11   0.711107       0.711107    
    12   0.710819       0.710819    
    13   0.710531       0.710531    
    14   0.710243       0.710243    
    15   0.709955       0.709955    
    16   0.709667       0.709667    
    17   0.709380       0.709380    
    18   0.709092       0.709092    
    19   0.708805       0.708805    
    20   0.708517       0.708517    
    21   0.708230       0.708230    
    22   0.707943       0.707943    
    23   0.707656       0.707656    
    24   0.707369       0.707369    
    25   0.707083       0.707083    
    26   0.706796       0.706796    
    27   0.706510       0.706510    
    28   0.706223       0.706223    
    29   0.705937       0.705937    
    30   0.705651       0.705651    
    31   0.705365       0.705365    
    32   0.705079       0.705079    
    33   0.704793       0.704793    
    34   0.704507       0.704507    
    35   0.704222       0.704222    
    36   0.703936       0.703936    
    37   0.703651       0.703651    
    38   0.703366       0.703366    
    39   0.703081       0.703081    
    40   0.702796       0.702796    
    41   0.702511       0.702511    
    42   0.702226       0.702226    
    43   0.701941       0.701941    
    44   0.701657       0.701657    
    45   0.701373       0.701373    
    46   0.701088       0.701088    
    47   0.700804       0.700804    
    48   0.700520       0.700520    
    49   0.700236       0.700236    
    50   0.699952       0.699952    
    51   0.699669       0.699669    
    52   0.699385       0.699385    
    53   0.699101       0.699101    
    54   0.698818       0.698818    
    55   0.698535       0.698535    
    56   0.698252       0.698252    
    57   0.697969       0.697969    
    58   0.697686       0.697686    
    59   0.697403       0.697403    
    60   0.697120       0.697120    
    61   0.696838       0.696838    
    62   0.696555       0.696555    
    63   0.696273       0.696273    
    64   0.695991       0.695991    
    65   0.695709       0.695709    
    66   0.695427       0.695427    
    67   0.695145       0.695145    
    68   0.694863       0.694863    
    69   0.694581       0.694581    
    70   0.694300       0.694300    
    71   0.694018       0.694018    
    72   0.693737       0.693737    
    73   0.693456       0.693456    
    74   0.693175       0.693175    
    75   0.692894       0.692894    
    76   0.692613       0.692613    
    77   0.692332       0.692332    
    78   0.692052       0.692052    
    79   0.691771       0.691771    
    80   0.691491       0.691491    
    81   0.691210       0.691210    
    82   0.690930       0.690930    
    83   0.690650       0.690650    
    84   0.690370       0.690370    
    85   0.690090       0.690090    
    86   0.689811       0.689811    
    87   0.689531       0.689531    
    88   0.689252       0.689252    
    89   0.688972       0.688972    
    90   0.688693       0.688693    
    91   0.688414       0.688414    
    92   0.688135       0.688135    
    93   0.687856       0.687856    
    94   0.687577       0.687577    
    95   0.687298       0.687298    
    96   0.687020       0.687020    
    97   0.686741       0.686741    
    98   0.686463       0.686463    
    99   0.686185       0.686185    
   100   0.685906       0.685906    
   101   0.685628       0.685628    
   102   0.685351       0.685351    
   103   0.685073       0.685073    
   104   0.684795       0.684795    
   105   0.684517       0.684517    
   106   0.684240       0.684240    
   107   0.683963       0.683963    
   108   0.683685       0.683685    
   109   0.683408       0.683408    
   110   0.683131       0.683131    
   111   0.682854       0.682854    
   112   0.682578       0.682578    
   113   0.682301       0.682301    
   114   0.682024       0.682024    
   115   0.681748       0.681748    
   116   0.681472       0.681472    
   117   0.681195       0.681195    
   118   0.680919       0.680919    
   119   0.680643       0.680643    
   120   0.680367       0.680367    
   121   0.680092       0.680092    
   122   0.679816       0.679816    
   123   0.679540       0.679540    
   124   0.679265       0.679265    
   125   0.678990       0.678990    
   126   0.678714       0.678714    
   127   0.678439       0.678439    
   128   0.678164       0.678164    
   129   0.677889       0.677889    
   130   0.677615       0.677615    
   131   0.677340       0.677340    
   132   0.677065       0.677065    
   133   0.676791       0.676791    
   134   0.676517       0.676517    
   135   0.676242       0.676242    
   136   0.675968       0.675968    
   137   0.675694       0.675694    
   138   0.675420       0.675420    
   139   0.675147       0.675147    
   140   0.674873       0.674873    
   141   0.674599       0.674599    
   142   0.674326       0.674326    
   143   0.674053       0.674053    
   144   0.673779       0.673779    
   145   0.673506       0.673506    
   146   0.673233       0.673233    
   147   0.672960       0.672960    
   148   0.672688       0.672688    
   149   0.672415       0.672415    
   150   0.672142       0.672142    
   151   0.671870       0.671870    
   152   0.671598       0.671598    
   153   0.671325       0.671325    
   154   0.671053       0.671053    
   155   0.670781       0.670781    
   156   0.670509       0.670509    
   157   0.670238       0.670238    
   158   0.669966       0.669966    
   159   0.669694       0.669694    
   160   0.669423       0.669423    
   161   0.669152       0.669152    
   162   0.668880       0.668880    
   163   0.668609       0.668609    
   164   0.668338       0.668338    
   165   0.668067       0.668067    
   166   0.667797       0.667797    
   167   0.667526       0.667526    
   168   0.667255       0.667255    
   169   0.666985       0.666985    
