#Time=   0.300000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.232445E-01   0.232509E-01   0.200000E-01   0.232445E-01   0.232509E-01
   0.400000E-01   0.464763E-01   0.464889E-01   0.400000E-01   0.464763E-01   0.464889E-01
   0.600000E-01   0.696824E-01   0.697013E-01   0.600000E-01   0.696824E-01   0.697013E-01
   0.800000E-01   0.928504E-01   0.928755E-01   0.800000E-01   0.928504E-01   0.928755E-01
   0.100000       0.115968       0.115999       0.100000       0.115968       0.115999    
   0.120000       0.139022       0.139059       0.120000       0.139022       0.139059    
   0.140000       0.162001       0.162044       0.140000       0.162001       0.162044    
   0.160000       0.184893       0.184942       0.160000       0.184893       0.184942    
   0.180000       0.207687       0.207742       0.180000       0.207687       0.207742    
   0.200000       0.230372       0.230432       0.200000       0.230372       0.230432    
   0.220000       0.252937       0.253002       0.220000       0.252937       0.253002    
   0.240000       0.275372       0.275441       0.240000       0.275372       0.275441    
   0.260000       0.297668       0.297741       0.260000       0.297668       0.297741    
   0.280000       0.319814       0.319892       0.280000       0.319814       0.319892    
   0.300000       0.341804       0.341885       0.300000       0.341804       0.341885    
   0.320000       0.363628       0.363714       0.320000       0.363628       0.363714    
   0.340000       0.385281       0.385369       0.340000       0.385281       0.385369    
   0.360000       0.406755       0.406846       0.360000       0.406755       0.406846    
   0.380000       0.428044       0.428138       0.380000       0.428044       0.428138    
   0.400000       0.449143       0.449239       0.400000       0.449143       0.449239    
   0.420000       0.470049       0.470147       0.420000       0.470049       0.470147    
   0.440000       0.490757       0.490856       0.440000       0.490757       0.490856    
   0.460000       0.511265       0.511365       0.460000       0.511265       0.511365    
   0.480000       0.531570       0.531671       0.480000       0.531570       0.531671    
   0.500000       0.551672       0.551773       0.500000       0.551672       0.551773    
   0.520000       0.571570       0.571671       0.520000       0.571570       0.571671    
   0.540000       0.591265       0.591365       0.540000       0.591265       0.591365    
   0.560000       0.610757       0.610856       0.560000       0.610757       0.610856    
   0.580000       0.630049       0.630147       0.580000       0.630049       0.630147    
   0.600000       0.649143       0.649239       0.600000       0.649143       0.649239    
   0.620000       0.668044       0.668138       0.620000       0.668044       0.668138    
   0.640000       0.686755       0.686846       0.640000       0.686755       0.686846    
   0.660000       0.705281       0.705369       0.660000       0.705281       0.705369    
   0.680000       0.723628       0.723714       0.680000       0.723628       0.723714    
   0.700000       0.741804       0.741885       0.700000       0.741804       0.741885    
   0.720000       0.759814       0.759892       0.720000       0.759814       0.759892    
   0.740000       0.777668       0.777741       0.740000       0.777668       0.777741    
   0.760000       0.795372       0.795441       0.760000       0.795372       0.795441    
   0.780000       0.812937       0.813002       0.780000       0.812937       0.813002    
   0.800000       0.830372       0.830432       0.800000       0.830372       0.830432    
   0.820000       0.847687       0.847742       0.820000       0.847687       0.847742    
   0.840000       0.864893       0.864942       0.840000       0.864893       0.864942    
   0.860000       0.882001       0.882044       0.860000       0.882001       0.882044    
   0.880000       0.899022       0.899059       0.880000       0.899022       0.899059    
   0.900000       0.915968       0.915999       0.900000       0.915968       0.915999    
   0.920000       0.932850       0.932875       0.920000       0.932850       0.932875    
   0.940000       0.949682       0.949701       0.940000       0.949682       0.949701    
   0.960000       0.966476       0.966489       0.960000       0.966476       0.966489    
   0.980000       0.983245       0.983251       0.980000       0.983245       0.983251    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
