#Time=    1.30000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200002E-01   0.200002E-01   0.200000E-01   0.200002E-01   0.200002E-01
   0.400000E-01   0.400003E-01   0.400003E-01   0.400000E-01   0.400003E-01   0.400003E-01
   0.600000E-01   0.600005E-01   0.600005E-01   0.600000E-01   0.600005E-01   0.600005E-01
   0.800000E-01   0.800007E-01   0.800007E-01   0.800000E-01   0.800007E-01   0.800007E-01
   0.100000       0.100001       0.100001       0.100000       0.100001       0.100001    
   0.120000       0.120001       0.120001       0.120000       0.120001       0.120001    
   0.140000       0.140001       0.140001       0.140000       0.140001       0.140001    
   0.160000       0.160001       0.160001       0.160000       0.160001       0.160001    
   0.180000       0.180001       0.180001       0.180000       0.180001       0.180001    
   0.200000       0.200002       0.200002       0.200000       0.200002       0.200002    
   0.220000       0.220002       0.220002       0.220000       0.220002       0.220002    
   0.240000       0.240002       0.240002       0.240000       0.240002       0.240002    
   0.260000       0.260002       0.260002       0.260000       0.260002       0.260002    
   0.280000       0.280002       0.280002       0.280000       0.280002       0.280002    
   0.300000       0.300002       0.300002       0.300000       0.300002       0.300002    
   0.320000       0.320002       0.320002       0.320000       0.320002       0.320002    
   0.340000       0.340002       0.340002       0.340000       0.340002       0.340002    
   0.360000       0.360002       0.360002       0.360000       0.360002       0.360002    
   0.380000       0.380002       0.380002       0.380000       0.380002       0.380002    
   0.400000       0.400003       0.400003       0.400000       0.400003       0.400003    
   0.420000       0.420003       0.420003       0.420000       0.420003       0.420003    
   0.440000       0.440003       0.440003       0.440000       0.440003       0.440003    
   0.460000       0.460003       0.460003       0.460000       0.460003       0.460003    
   0.480000       0.480003       0.480003       0.480000       0.480003       0.480003    
   0.500000       0.500003       0.500003       0.500000       0.500003       0.500003    
   0.520000       0.520003       0.520003       0.520000       0.520003       0.520003    
   0.540000       0.540003       0.540003       0.540000       0.540003       0.540003    
   0.560000       0.560003       0.560003       0.560000       0.560003       0.560003    
   0.580000       0.580003       0.580003       0.580000       0.580003       0.580003    
   0.600000       0.600003       0.600003       0.600000       0.600003       0.600003    
   0.620000       0.620002       0.620002       0.620000       0.620002       0.620002    
   0.640000       0.640002       0.640002       0.640000       0.640002       0.640002    
   0.660000       0.660002       0.660002       0.660000       0.660002       0.660002    
   0.680000       0.680002       0.680002       0.680000       0.680002       0.680002    
   0.700000       0.700002       0.700002       0.700000       0.700002       0.700002    
   0.720000       0.720002       0.720002       0.720000       0.720002       0.720002    
   0.740000       0.740002       0.740002       0.740000       0.740002       0.740002    
   0.760000       0.760002       0.760002       0.760000       0.760002       0.760002    
   0.780000       0.780002       0.780002       0.780000       0.780002       0.780002    
   0.800000       0.800002       0.800002       0.800000       0.800002       0.800002    
   0.820000       0.820001       0.820001       0.820000       0.820001       0.820001    
   0.840000       0.840001       0.840001       0.840000       0.840001       0.840001    
   0.860000       0.860001       0.860001       0.860000       0.860001       0.860001    
   0.880000       0.880001       0.880001       0.880000       0.880001       0.880001    
   0.900000       0.900001       0.900001       0.900000       0.900001       0.900001    
   0.920000       0.920001       0.920001       0.920000       0.920001       0.920001    
   0.940000       0.940000       0.940001       0.940000       0.940000       0.940001    
   0.960000       0.960000       0.960000       0.960000       0.960000       0.960000    
   0.980000       0.980000       0.980000       0.980000       0.980000       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
