#Time=    0.00000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.827905E-01   0.827905E-01   0.200000E-01   0.827905E-01   0.827905E-01
   0.400000E-01   0.165333       0.165333       0.400000E-01   0.165333       0.165333    
   0.600000E-01   0.247381       0.247381       0.600000E-01   0.247381       0.247381    
   0.800000E-01   0.328690       0.328690       0.800000E-01   0.328690       0.328690    
   0.100000       0.409017       0.409017       0.100000       0.409017       0.409017    
   0.120000       0.488125       0.488125       0.120000       0.488125       0.488125    
   0.140000       0.565779       0.565779       0.140000       0.565779       0.565779    
   0.160000       0.641754       0.641754       0.160000       0.641754       0.641754    
   0.180000       0.715827       0.715827       0.180000       0.715827       0.715827    
   0.200000       0.787785       0.787785       0.200000       0.787785       0.787785    
   0.220000       0.857424       0.857424       0.220000       0.857424       0.857424    
   0.240000       0.924547       0.924547       0.240000       0.924547       0.924547    
   0.260000       0.988969       0.988969       0.260000       0.988969       0.988969    
   0.280000        1.05051        1.05051       0.280000        1.05051        1.05051    
   0.300000        1.10902        1.10902       0.300000        1.10902        1.10902    
   0.320000        1.16433        1.16433       0.320000        1.16433        1.16433    
   0.340000        1.21631        1.21631       0.340000        1.21631        1.21631    
   0.360000        1.26483        1.26483       0.360000        1.26483        1.26483    
   0.380000        1.30978        1.30978       0.380000        1.30978        1.30978    
   0.400000        1.35106        1.35106       0.400000        1.35106        1.35106    
   0.420000        1.38858        1.38858       0.420000        1.38858        1.38858    
   0.440000        1.42229        1.42229       0.440000        1.42229        1.42229    
   0.460000        1.45211        1.45211       0.460000        1.45211        1.45211    
   0.480000        1.47803        1.47803       0.480000        1.47803        1.47803    
   0.500000        1.50000        1.50000       0.500000        1.50000        1.50000    
   0.520000        1.51803        1.51803       0.520000        1.51803        1.51803    
   0.540000        1.53211        1.53211       0.540000        1.53211        1.53211    
   0.560000        1.54229        1.54229       0.560000        1.54229        1.54229    
   0.580000        1.54858        1.54858       0.580000        1.54858        1.54858    
   0.600000        1.55106        1.55106       0.600000        1.55106        1.55106    
   0.620000        1.54978        1.54978       0.620000        1.54978        1.54978    
   0.640000        1.54483        1.54483       0.640000        1.54483        1.54483    
   0.660000        1.53631        1.53631       0.660000        1.53631        1.53631    
   0.680000        1.52433        1.52433       0.680000        1.52433        1.52433    
   0.700000        1.50902        1.50902       0.700000        1.50902        1.50902    
   0.720000        1.49051        1.49051       0.720000        1.49051        1.49051    
   0.740000        1.46897        1.46897       0.740000        1.46897        1.46897    
   0.760000        1.44455        1.44455       0.760000        1.44455        1.44455    
   0.780000        1.41742        1.41742       0.780000        1.41742        1.41742    
   0.800000        1.38779        1.38779       0.800000        1.38779        1.38779    
   0.820000        1.35583        1.35583       0.820000        1.35583        1.35583    
   0.840000        1.32175        1.32175       0.840000        1.32175        1.32175    
   0.860000        1.28578        1.28578       0.860000        1.28578        1.28578    
   0.880000        1.24812        1.24812       0.880000        1.24812        1.24812    
   0.900000        1.20902        1.20902       0.900000        1.20902        1.20902    
   0.920000        1.16869        1.16869       0.920000        1.16869        1.16869    
   0.940000        1.12738        1.12738       0.940000        1.12738        1.12738    
   0.960000        1.08533        1.08533       0.960000        1.08533        1.08533    
   0.980000        1.04279        1.04279       0.980000        1.04279        1.04279    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
