#Time=   0.800000E-01
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.485169E-01   0.485095E-01   0.200000E-01   0.485169E-01   0.485095E-01
   0.400000E-01   0.969212E-01   0.969064E-01   0.400000E-01   0.969212E-01   0.969064E-01
   0.600000E-01   0.145101       0.145079       0.600000E-01   0.145101       0.145079    
   0.800000E-01   0.192945       0.192915       0.800000E-01   0.192945       0.192915    
   0.100000       0.240343       0.240306       0.100000       0.240343       0.240306    
   0.120000       0.287187       0.287144       0.120000       0.287187       0.287144    
   0.140000       0.333371       0.333321       0.140000       0.333371       0.333321    
   0.160000       0.378793       0.378736       0.160000       0.378793       0.378736    
   0.180000       0.423350       0.423287       0.180000       0.423350       0.423287    
   0.200000       0.466948       0.466878       0.200000       0.466948       0.466878    
   0.220000       0.509492       0.509416       0.220000       0.509492       0.509416    
   0.240000       0.550893       0.550812       0.240000       0.550893       0.550812    
   0.260000       0.591067       0.590981       0.260000       0.591067       0.590981    
   0.280000       0.629935       0.629844       0.280000       0.629935       0.629844    
   0.300000       0.667422       0.667327       0.300000       0.667422       0.667327    
   0.320000       0.703459       0.703359       0.320000       0.703459       0.703359    
   0.340000       0.737982       0.737879       0.340000       0.737982       0.737879    
   0.360000       0.770935       0.770828       0.360000       0.770935       0.770828    
   0.380000       0.802266       0.802156       0.380000       0.802266       0.802156    
   0.400000       0.831930       0.831818       0.400000       0.831930       0.831818    
   0.420000       0.859890       0.859776       0.420000       0.859890       0.859776    
   0.440000       0.886114       0.885998       0.440000       0.886114       0.885998    
   0.460000       0.910577       0.910460       0.460000       0.910577       0.910460    
   0.480000       0.933262       0.933145       0.480000       0.933262       0.933145    
   0.500000       0.954159       0.954041       0.500000       0.954159       0.954041    
   0.520000       0.973262       0.973145       0.520000       0.973262       0.973145    
   0.540000       0.990577       0.990460       0.540000       0.990577       0.990460    
   0.560000        1.00611        1.00600       0.560000        1.00611        1.00600    
   0.580000        1.01989        1.01978       0.580000        1.01989        1.01978    
   0.600000        1.03193        1.03182       0.600000        1.03193        1.03182    
   0.620000        1.04227        1.04216       0.620000        1.04227        1.04216    
   0.640000        1.05093        1.05083       0.640000        1.05093        1.05083    
   0.660000        1.05798        1.05788       0.660000        1.05798        1.05788    
   0.680000        1.06346        1.06336       0.680000        1.06346        1.06336    
   0.700000        1.06742        1.06733       0.700000        1.06742        1.06733    
   0.720000        1.06994        1.06984       0.720000        1.06994        1.06984    
   0.740000        1.07107        1.07098       0.740000        1.07107        1.07098    
   0.760000        1.07089        1.07081       0.760000        1.07089        1.07081    
   0.780000        1.06949        1.06942       0.780000        1.06949        1.06942    
   0.800000        1.06695        1.06688       0.800000        1.06695        1.06688    
   0.820000        1.06335        1.06329       0.820000        1.06335        1.06329    
   0.840000        1.05879        1.05874       0.840000        1.05879        1.05874    
   0.860000        1.05337        1.05332       0.860000        1.05337        1.05332    
   0.880000        1.04719        1.04714       0.880000        1.04719        1.04714    
   0.900000        1.04034        1.04031       0.900000        1.04034        1.04031    
   0.920000        1.03294        1.03292       0.920000        1.03294        1.03292    
   0.940000        1.02510        1.02508       0.940000        1.02510        1.02508    
   0.960000        1.01692        1.01691       0.960000        1.01692        1.01691    
   0.980000        1.00852        1.00851       0.980000        1.00852        1.00851    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
