# Iteration  RMSerrUS  RMSerrSS
     1   0.462421E-06   0.712878    
     2   0.923018E-06   0.711472    
     3   0.138180E-05   0.710070    
     4   0.183876E-05   0.708670    
     5   0.229392E-05   0.707273    
     6   0.274728E-05   0.705879    
     7   0.319884E-05   0.704487    
     8   0.364861E-05   0.703098    
     9   0.409659E-05   0.701712    
    10   0.454280E-05   0.700329    
    11   0.498722E-05   0.698948    
    12   0.542988E-05   0.697571    
    13   0.587077E-05   0.696195    
    14   0.630991E-05   0.694823    
    15   0.674728E-05   0.693453    
    16   0.718291E-05   0.692086    
    17   0.761680E-05   0.690722    
    18   0.804894E-05   0.689360    
    19   0.847936E-05   0.688001    
    20   0.890804E-05   0.686645    
    21   0.933500E-05   0.685292    
    22   0.976024E-05   0.683941    
    23   0.101838E-04   0.682592    
    24   0.106056E-04   0.681247    
    25   0.110257E-04   0.679904    
    26   0.114441E-04   0.678563    
    27   0.118609E-04   0.677226    
    28   0.122759E-04   0.675891    
    29   0.126893E-04   0.674558    
    30   0.131009E-04   0.673229    
    31   0.135109E-04   0.671901    
    32   0.139193E-04   0.670577    
    33   0.143260E-04   0.669255    
    34   0.147310E-04   0.667936    
    35   0.151343E-04   0.666619    
    36   0.155361E-04   0.665305    
    37   0.159361E-04   0.663993    
    38   0.163346E-04   0.662684    
    39   0.167314E-04   0.661378    
    40   0.171265E-04   0.660074    
    41   0.175201E-04   0.658773    
    42   0.179120E-04   0.657474    
    43   0.183023E-04   0.656178    
    44   0.186911E-04   0.654885    
    45   0.190782E-04   0.653594    
    46   0.194637E-04   0.652305    
    47   0.198476E-04   0.651019    
    48   0.202299E-04   0.649736    
    49   0.206106E-04   0.648455    
    50   0.209898E-04   0.647177    
    51   0.213674E-04   0.645901    
    52   0.217434E-04   0.644628    
    53   0.221179E-04   0.643357    
    54   0.224907E-04   0.642089    
    55   0.228621E-04   0.640823    
    56   0.232318E-04   0.639560    
    57   0.236001E-04   0.638299    
    58   0.239668E-04   0.637041    
    59   0.243319E-04   0.635785    
    60   0.246955E-04   0.634531    
    61   0.250576E-04   0.633280    
    62   0.254182E-04   0.632032    
    63   0.257772E-04   0.630786    
    64   0.261348E-04   0.629543    
    65   0.264908E-04   0.628302    
    66   0.268453E-04   0.627063    
    67   0.271983E-04   0.625827    
    68   0.275498E-04   0.624593    
    69   0.278999E-04   0.623362    
    70   0.282484E-04   0.622133    
    71   0.285955E-04   0.620907    
    72   0.289410E-04   0.619683    
    73   0.292852E-04   0.618461    
    74   0.296278E-04   0.617242    
    75   0.299690E-04   0.616025    
    76   0.303087E-04   0.614811    
    77   0.306469E-04   0.613599    
    78   0.309837E-04   0.612389    
    79   0.313191E-04   0.611182    
    80   0.316530E-04   0.609977    
    81   0.319855E-04   0.608775    
    82   0.323165E-04   0.607574    
    83   0.326461E-04   0.606377    
    84   0.329743E-04   0.605181    
    85   0.333011E-04   0.603988    
    86   0.336264E-04   0.602798    
    87   0.339503E-04   0.601609    
    88   0.342729E-04   0.600423    
    89   0.345940E-04   0.599240    
    90   0.349137E-04   0.598058    
    91   0.352320E-04   0.596880    
    92   0.355490E-04   0.595703    
    93   0.358645E-04   0.594529    
    94   0.361787E-04   0.593357    
    95   0.364915E-04   0.592187    
    96   0.368029E-04   0.591019    
    97   0.371129E-04   0.589854    
    98   0.374216E-04   0.588692    
    99   0.377289E-04   0.587531    
   100   0.380349E-04   0.586373    
   101   0.383395E-04   0.585217    
   102   0.386428E-04   0.584063    
   103   0.389447E-04   0.582912    
   104   0.392453E-04   0.581763    
   105   0.395445E-04   0.580616    
   106   0.398424E-04   0.579471    
   107   0.401390E-04   0.578329    
   108   0.404342E-04   0.577189    
   109   0.407282E-04   0.576051    
   110   0.410208E-04   0.574916    
   111   0.413121E-04   0.573782    
   112   0.416021E-04   0.572651    
   113   0.418908E-04   0.571522    
   114   0.421781E-04   0.570396    
   115   0.424642E-04   0.569271    
   116   0.427490E-04   0.568149    
   117   0.430326E-04   0.567029    
   118   0.433148E-04   0.565911    
   119   0.435957E-04   0.564795    
   120   0.438754E-04   0.563682    
   121   0.441538E-04   0.562571    
   122   0.444309E-04   0.561462    
   123   0.447068E-04   0.560355    
   124   0.449814E-04   0.559250    
   125   0.452548E-04   0.558148    
   126   0.455269E-04   0.557048    
   127   0.457977E-04   0.555950    
   128   0.460673E-04   0.554854    
   129   0.463357E-04   0.553760    
   130   0.466028E-04   0.552668    
   131   0.468687E-04   0.551579    
   132   0.471334E-04   0.550491    
   133   0.473968E-04   0.549406    
   134   0.476590E-04   0.548323    
   135   0.479200E-04   0.547242    
   136   0.481798E-04   0.546163    
   137   0.484384E-04   0.545087    
   138   0.486957E-04   0.544012    
   139   0.489519E-04   0.542940    
   140   0.492068E-04   0.541869    
   141   0.494606E-04   0.540801    
   142   0.497132E-04   0.539735    
   143   0.499646E-04   0.538671    
   144   0.502148E-04   0.537609    
   145   0.504638E-04   0.536549    
   146   0.507116E-04   0.535492    
   147   0.509583E-04   0.534436    
   148   0.512038E-04   0.533382    
   149   0.514481E-04   0.532331    
   150   0.516913E-04   0.531282    
   151   0.519333E-04   0.530234    
   152   0.521742E-04   0.529189    
   153   0.524139E-04   0.528146    
   154   0.526524E-04   0.527105    
   155   0.528899E-04   0.526066    
   156   0.531261E-04   0.525029    
   157   0.533613E-04   0.523994    
   158   0.535953E-04   0.522961    
   159   0.538281E-04   0.521930    
   160   0.540599E-04   0.520901    
   161   0.542905E-04   0.519874    
   162   0.545200E-04   0.518849    
   163   0.547484E-04   0.517826    
   164   0.549757E-04   0.516805    
   165   0.552018E-04   0.515787    
   166   0.554269E-04   0.514770    
   167   0.556508E-04   0.513755    
   168   0.558737E-04   0.512742    
   169   0.560955E-04   0.511731    
   170   0.563161E-04   0.510723    
   171   0.565357E-04   0.509716    
   172   0.567542E-04   0.508711    
   173   0.569716E-04   0.507708    
   174   0.571880E-04   0.506707    
   175   0.574032E-04   0.505708    
   176   0.576174E-04   0.504712    
   177   0.578305E-04   0.503717    
   178   0.580426E-04   0.502724    
   179   0.582536E-04   0.501733    
   180   0.584635E-04   0.500744    
   181   0.586724E-04   0.499756    
   182   0.588803E-04   0.498771    
   183   0.590871E-04   0.497788    
   184   0.592928E-04   0.496807    
   185   0.594975E-04   0.495827    
   186   0.597012E-04   0.494850    
   187   0.599038E-04   0.493874    
   188   0.601054E-04   0.492901    
   189   0.603060E-04   0.491929    
   190   0.605055E-04   0.490959    
   191   0.607040E-04   0.489992    
   192   0.609016E-04   0.489026    
   193   0.610980E-04   0.488062    
   194   0.612935E-04   0.487099    
   195   0.614880E-04   0.486139    
   196   0.616815E-04   0.485181    
   197   0.618739E-04   0.484224    
   198   0.620654E-04   0.483270    
   199   0.622559E-04   0.482317    
   200   0.624454E-04   0.481366    
   201   0.626338E-04   0.480417    
   202   0.628214E-04   0.479470    
   203   0.630079E-04   0.478525    
   204   0.631934E-04   0.477582    
   205   0.633780E-04   0.476640    
   206   0.635616E-04   0.475701    
   207   0.637442E-04   0.474763    
   208   0.639258E-04   0.473827    
   209   0.641065E-04   0.472893    
   210   0.642863E-04   0.471961    
   211   0.644650E-04   0.471030    
   212   0.646429E-04   0.470102    
   213   0.648197E-04   0.469175    
   214   0.649956E-04   0.468250    
   215   0.651706E-04   0.467327    
   216   0.653446E-04   0.466406    
   217   0.655177E-04   0.465486    
   218   0.656899E-04   0.464569    
   219   0.658611E-04   0.463653    
   220   0.660314E-04   0.462739    
   221   0.662007E-04   0.461827    
   222   0.663692E-04   0.460916    
   223   0.665367E-04   0.460008    
   224   0.667033E-04   0.459101    
   225   0.668690E-04   0.458196    
   226   0.670337E-04   0.457293    
   227   0.671976E-04   0.456391    
   228   0.673605E-04   0.455491    
   229   0.675226E-04   0.454594    
   230   0.676837E-04   0.453697    
   231   0.678440E-04   0.452803    
   232   0.680033E-04   0.451910    
   233   0.681618E-04   0.451020    
   234   0.683194E-04   0.450130    
   235   0.684761E-04   0.449243    
   236   0.686319E-04   0.448357    
   237   0.687868E-04   0.447474    
   238   0.689408E-04   0.446591    
   239   0.690940E-04   0.445711    
   240   0.692463E-04   0.444832    
   241   0.693977E-04   0.443956    
   242   0.695483E-04   0.443080    
   243   0.696980E-04   0.442207    
   244   0.698468E-04   0.441335    
   245   0.699948E-04   0.440465    
   246   0.701419E-04   0.439597    
   247   0.702882E-04   0.438730    
   248   0.704336E-04   0.437865    
   249   0.705782E-04   0.437002    
   250   0.707219E-04   0.436141    
   251   0.708648E-04   0.435281    
   252   0.710069E-04   0.434423    
   253   0.711481E-04   0.433566    
   254   0.712885E-04   0.432712    
   255   0.714280E-04   0.431859    
   256   0.715667E-04   0.431007    
   257   0.717046E-04   0.430158    
   258   0.718417E-04   0.429310    
   259   0.719780E-04   0.428463    
   260   0.721134E-04   0.427619    
   261   0.722481E-04   0.426776    
   262   0.723819E-04   0.425935    
   263   0.725149E-04   0.425095    
   264   0.726471E-04   0.424257    
   265   0.727785E-04   0.423421    
   266   0.729091E-04   0.422586    
   267   0.730389E-04   0.421753    
   268   0.731679E-04   0.420921    
   269   0.732961E-04   0.420092    
   270   0.734235E-04   0.419263    
   271   0.735502E-04   0.418437    
   272   0.736760E-04   0.417612    
   273   0.738011E-04   0.416789    
   274   0.739254E-04   0.415967    
   275   0.740489E-04   0.415147    
   276   0.741717E-04   0.414329    
   277   0.742936E-04   0.413512    
   278   0.744148E-04   0.412697    
   279   0.745352E-04   0.411883    
   280   0.746549E-04   0.411071    
   281   0.747738E-04   0.410261    
   282   0.748920E-04   0.409452    
   283   0.750094E-04   0.408645    
   284   0.751260E-04   0.407840    
   285   0.752419E-04   0.407036    
   286   0.753570E-04   0.406233    
   287   0.754714E-04   0.405432    
   288   0.755850E-04   0.404633    
   289   0.756980E-04   0.403835    
   290   0.758101E-04   0.403039    
   291   0.759215E-04   0.402245    
   292   0.760322E-04   0.401452    
   293   0.761422E-04   0.400660    
   294   0.762514E-04   0.399871    
   295   0.763599E-04   0.399082    
   296   0.764677E-04   0.398296    
   297   0.765748E-04   0.397510    
   298   0.766811E-04   0.396727    
   299   0.767867E-04   0.395945    
   300   0.768917E-04   0.395164    
   301   0.769958E-04   0.394385    
   302   0.770993E-04   0.393608    
   303   0.772021E-04   0.392832    
   304   0.773042E-04   0.392057    
   305   0.774056E-04   0.391285    
   306   0.775062E-04   0.390513    
   307   0.776062E-04   0.389743    
   308   0.777055E-04   0.388975    
   309   0.778041E-04   0.388208    
   310   0.779020E-04   0.387443    
   311   0.779992E-04   0.386679    
   312   0.780957E-04   0.385917    
   313   0.781915E-04   0.385156    
   314   0.782867E-04   0.384397    
   315   0.783812E-04   0.383639    
   316   0.784750E-04   0.382883    
   317   0.785681E-04   0.382128    
   318   0.786605E-04   0.381375    
   319   0.787523E-04   0.380623    
   320   0.788434E-04   0.379873    
   321   0.789339E-04   0.379124    
   322   0.790237E-04   0.378376    
   323   0.791128E-04   0.377630    
   324   0.792012E-04   0.376886    
   325   0.792891E-04   0.376143    
   326   0.793762E-04   0.375402    
   327   0.794627E-04   0.374662    
   328   0.795486E-04   0.373923    
   329   0.796338E-04   0.373186    
   330   0.797183E-04   0.372450    
   331   0.798023E-04   0.371716    
   332   0.798855E-04   0.370983    
   333   0.799682E-04   0.370252    
   334   0.800502E-04   0.369522    
   335   0.801315E-04   0.368793    
   336   0.802123E-04   0.368066    
   337   0.802924E-04   0.367341    
   338   0.803719E-04   0.366617    
   339   0.804507E-04   0.365894    
   340   0.805289E-04   0.365173    
   341   0.806065E-04   0.364453    
   342   0.806835E-04   0.363734    
   343   0.807599E-04   0.363017    
   344   0.808357E-04   0.362302    
   345   0.809108E-04   0.361588    
   346   0.809853E-04   0.360875    
   347   0.810593E-04   0.360163    
   348   0.811326E-04   0.359453    
   349   0.812053E-04   0.358745    
   350   0.812774E-04   0.358038    
   351   0.813489E-04   0.357332    
   352   0.814198E-04   0.356627    
   353   0.814902E-04   0.355924    
   354   0.815599E-04   0.355223    
   355   0.816290E-04   0.354522    
   356   0.816976E-04   0.353823    
   357   0.817655E-04   0.353126    
   358   0.818329E-04   0.352430    
   359   0.818997E-04   0.351735    
   360   0.819659E-04   0.351042    
   361   0.820315E-04   0.350350    
   362   0.820966E-04   0.349659    
   363   0.821610E-04   0.348970    
   364   0.822249E-04   0.348282    
   365   0.822883E-04   0.347595    
   366   0.823510E-04   0.346910    
   367   0.824132E-04   0.346226    
   368   0.824748E-04   0.345544    
   369   0.825359E-04   0.344862    
   370   0.825964E-04   0.344183    
   371   0.826563E-04   0.343504    
   372   0.827157E-04   0.342827    
   373   0.827746E-04   0.342151    
   374   0.828328E-04   0.341477    
   375   0.828906E-04   0.340803    
   376   0.829477E-04   0.340132    
   377   0.830044E-04   0.339461    
   378   0.830604E-04   0.338792    
   379   0.831160E-04   0.338124    
   380   0.831710E-04   0.337458    
   381   0.832254E-04   0.336792    
   382   0.832793E-04   0.336128    
   383   0.833327E-04   0.335466    
   384   0.833856E-04   0.334804    
   385   0.834379E-04   0.334144    
   386   0.834897E-04   0.333486    
   387   0.835409E-04   0.332828    
   388   0.835917E-04   0.332172    
   389   0.836419E-04   0.331517    
   390   0.836915E-04   0.330864    
   391   0.837407E-04   0.330212    
