#Time=    200000.    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200189E-01   0.200000E-01   0.200000E-01   0.200189E-01   0.200000E-01
   0.400000E-01   0.400377E-01   0.400000E-01   0.400000E-01   0.400377E-01   0.400000E-01
   0.600000E-01   0.600564E-01   0.600000E-01   0.600000E-01   0.600564E-01   0.600000E-01
   0.800000E-01   0.800749E-01   0.800000E-01   0.800000E-01   0.800749E-01   0.800000E-01
   0.100000       0.100093       0.100000       0.100000       0.100093       0.100000    
   0.120000       0.120111       0.120000       0.120000       0.120111       0.120000    
   0.140000       0.140128       0.140000       0.140000       0.140128       0.140000    
   0.160000       0.160145       0.160000       0.160000       0.160145       0.160000    
   0.180000       0.180161       0.180000       0.180000       0.180161       0.180000    
   0.200000       0.200177       0.200000       0.200000       0.200177       0.200000    
   0.220000       0.220192       0.220000       0.220000       0.220192       0.220000    
   0.240000       0.240206       0.240000       0.240000       0.240206       0.240000    
   0.260000       0.260219       0.260000       0.260000       0.260219       0.260000    
   0.280000       0.280232       0.280000       0.280000       0.280232       0.280000    
   0.300000       0.300244       0.300000       0.300000       0.300244       0.300000    
   0.320000       0.320254       0.320000       0.320000       0.320254       0.320000    
   0.340000       0.340264       0.340000       0.340000       0.340264       0.340000    
   0.360000       0.360272       0.360000       0.360000       0.360272       0.360000    
   0.380000       0.380280       0.380000       0.380000       0.380280       0.380000    
   0.400000       0.400286       0.400000       0.400000       0.400286       0.400000    
   0.420000       0.420292       0.420000       0.420000       0.420292       0.420000    
   0.440000       0.440296       0.440000       0.440000       0.440296       0.440000    
   0.460000       0.460299       0.460000       0.460000       0.460299       0.460000    
   0.480000       0.480300       0.480000       0.480000       0.480300       0.480000    
   0.500000       0.500301       0.500000       0.500000       0.500301       0.500000    
   0.520000       0.520300       0.520000       0.520000       0.520300       0.520000    
   0.540000       0.540299       0.540000       0.540000       0.540299       0.540000    
   0.560000       0.560296       0.560000       0.560000       0.560296       0.560000    
   0.580000       0.580292       0.580000       0.580000       0.580292       0.580000    
   0.600000       0.600286       0.600000       0.600000       0.600286       0.600000    
   0.620000       0.620280       0.620000       0.620000       0.620280       0.620000    
   0.640000       0.640272       0.640000       0.640000       0.640272       0.640000    
   0.660000       0.660264       0.660000       0.660000       0.660264       0.660000    
   0.680000       0.680254       0.680000       0.680000       0.680254       0.680000    
   0.700000       0.700244       0.700000       0.700000       0.700244       0.700000    
   0.720000       0.720232       0.720000       0.720000       0.720232       0.720000    
   0.740000       0.740219       0.740000       0.740000       0.740219       0.740000    
   0.760000       0.760206       0.760000       0.760000       0.760206       0.760000    
   0.780000       0.780192       0.780000       0.780000       0.780192       0.780000    
   0.800000       0.800177       0.800000       0.800000       0.800177       0.800000    
   0.820000       0.820161       0.820000       0.820000       0.820161       0.820000    
   0.840000       0.840145       0.840000       0.840000       0.840145       0.840000    
   0.860000       0.860128       0.860000       0.860000       0.860128       0.860000    
   0.880000       0.880111       0.880000       0.880000       0.880111       0.880000    
   0.900000       0.900093       0.900000       0.900000       0.900093       0.900000    
   0.920000       0.920075       0.920000       0.920000       0.920075       0.920000    
   0.940000       0.940056       0.940000       0.940000       0.940056       0.940000    
   0.960000       0.960038       0.960000       0.960000       0.960038       0.960000    
   0.980000       0.980019       0.980000       0.980000       0.980019       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
