#Time=   0.250000E+08
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200025E-01   0.200000E-01   0.200000E-01   0.200025E-01   0.200000E-01
   0.400000E-01   0.400050E-01   0.400000E-01   0.400000E-01   0.400050E-01   0.400000E-01
   0.600000E-01   0.600074E-01   0.600000E-01   0.600000E-01   0.600074E-01   0.600000E-01
   0.800000E-01   0.800099E-01   0.800000E-01   0.800000E-01   0.800099E-01   0.800000E-01
   0.100000       0.100012       0.100000       0.100000       0.100012       0.100000    
   0.120000       0.120015       0.120000       0.120000       0.120015       0.120000    
   0.140000       0.140017       0.140000       0.140000       0.140017       0.140000    
   0.160000       0.160019       0.160000       0.160000       0.160019       0.160000    
   0.180000       0.180021       0.180000       0.180000       0.180021       0.180000    
   0.200000       0.200023       0.200000       0.200000       0.200023       0.200000    
   0.220000       0.220025       0.220000       0.220000       0.220025       0.220000    
   0.240000       0.240027       0.240000       0.240000       0.240027       0.240000    
   0.260000       0.260029       0.260000       0.260000       0.260029       0.260000    
   0.280000       0.280031       0.280000       0.280000       0.280031       0.280000    
   0.300000       0.300032       0.300000       0.300000       0.300032       0.300000    
   0.320000       0.320033       0.320000       0.320000       0.320033       0.320000    
   0.340000       0.340035       0.340000       0.340000       0.340035       0.340000    
   0.360000       0.360036       0.360000       0.360000       0.360036       0.360000    
   0.380000       0.380037       0.380000       0.380000       0.380037       0.380000    
   0.400000       0.400038       0.400000       0.400000       0.400038       0.400000    
   0.420000       0.420038       0.420000       0.420000       0.420038       0.420000    
   0.440000       0.440039       0.440000       0.440000       0.440039       0.440000    
   0.460000       0.460039       0.460000       0.460000       0.460039       0.460000    
   0.480000       0.480040       0.480000       0.480000       0.480040       0.480000    
   0.500000       0.500040       0.500000       0.500000       0.500040       0.500000    
   0.520000       0.520040       0.520000       0.520000       0.520040       0.520000    
   0.540000       0.540039       0.540000       0.540000       0.540039       0.540000    
   0.560000       0.560039       0.560000       0.560000       0.560039       0.560000    
   0.580000       0.580038       0.580000       0.580000       0.580038       0.580000    
   0.600000       0.600038       0.600000       0.600000       0.600038       0.600000    
   0.620000       0.620037       0.620000       0.620000       0.620037       0.620000    
   0.640000       0.640036       0.640000       0.640000       0.640036       0.640000    
   0.660000       0.660035       0.660000       0.660000       0.660035       0.660000    
   0.680000       0.680033       0.680000       0.680000       0.680033       0.680000    
   0.700000       0.700032       0.700000       0.700000       0.700032       0.700000    
   0.720000       0.720031       0.720000       0.720000       0.720031       0.720000    
   0.740000       0.740029       0.740000       0.740000       0.740029       0.740000    
   0.760000       0.760027       0.760000       0.760000       0.760027       0.760000    
   0.780000       0.780025       0.780000       0.780000       0.780025       0.780000    
   0.800000       0.800023       0.800000       0.800000       0.800023       0.800000    
   0.820000       0.820021       0.820000       0.820000       0.820021       0.820000    
   0.840000       0.840019       0.840000       0.840000       0.840019       0.840000    
   0.860000       0.860017       0.860000       0.860000       0.860017       0.860000    
   0.880000       0.880015       0.880000       0.880000       0.880015       0.880000    
   0.900000       0.900012       0.900000       0.900000       0.900012       0.900000    
   0.920000       0.920010       0.920000       0.920000       0.920010       0.920000    
   0.940000       0.940007       0.940000       0.940000       0.940007       0.940000    
   0.960000       0.960005       0.960000       0.960000       0.960005       0.960000    
   0.980000       0.980002       0.980000       0.980000       0.980002       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
