#Time=   0.500000E-01
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.583304E-01   0.583335E-01   0.200000E-01   0.583304E-01   0.583335E-01
   0.400000E-01   0.116509       0.116516       0.400000E-01   0.116509       0.116516    
   0.600000E-01   0.174387       0.174396       0.600000E-01   0.174387       0.174396    
   0.800000E-01   0.231812       0.231825       0.800000E-01   0.231812       0.231825    
   0.100000       0.288639       0.288654       0.100000       0.288639       0.288654    
   0.120000       0.344721       0.344739       0.120000       0.344721       0.344739    
   0.140000       0.399916       0.399937       0.140000       0.399916       0.399937    
   0.160000       0.454086       0.454110       0.160000       0.454086       0.454110    
   0.180000       0.507095       0.507121       0.180000       0.507095       0.507121    
   0.200000       0.558813       0.558842       0.200000       0.558813       0.558842    
   0.220000       0.609114       0.609146       0.220000       0.609114       0.609146    
   0.240000       0.657881       0.657915       0.240000       0.657881       0.657915    
   0.260000       0.704998       0.705034       0.260000       0.704998       0.705034    
   0.280000       0.750359       0.750397       0.280000       0.750359       0.750397    
   0.300000       0.793863       0.793903       0.300000       0.793863       0.793903    
   0.320000       0.835419       0.835461       0.320000       0.835419       0.835461    
   0.340000       0.874940       0.874983       0.340000       0.874940       0.874983    
   0.360000       0.912350       0.912395       0.360000       0.912350       0.912395    
   0.380000       0.947581       0.947627       0.380000       0.947581       0.947627    
   0.400000       0.980571       0.980618       0.400000       0.980571       0.980618    
   0.420000        1.01127        1.01132       0.420000        1.01127        1.01132    
   0.440000        1.03964        1.03968       0.440000        1.03964        1.03968    
   0.460000        1.06563        1.06568       0.460000        1.06563        1.06568    
   0.480000        1.08924        1.08929       0.480000        1.08924        1.08929    
   0.500000        1.11045        1.11050       0.500000        1.11045        1.11050    
   0.520000        1.12924        1.12929       0.520000        1.12924        1.12929    
   0.540000        1.14563        1.14568       0.540000        1.14563        1.14568    
   0.560000        1.15964        1.15968       0.560000        1.15964        1.15968    
   0.580000        1.17127        1.17132       0.580000        1.17127        1.17132    
   0.600000        1.18057        1.18062       0.600000        1.18057        1.18062    
   0.620000        1.18758        1.18763       0.620000        1.18758        1.18763    
   0.640000        1.19235        1.19240       0.640000        1.19235        1.19240    
   0.660000        1.19494        1.19498       0.660000        1.19494        1.19498    
   0.680000        1.19542        1.19546       0.680000        1.19542        1.19546    
   0.700000        1.19386        1.19390       0.700000        1.19386        1.19390    
   0.720000        1.19036        1.19040       0.720000        1.19036        1.19040    
   0.740000        1.18500        1.18503       0.740000        1.18500        1.18503    
   0.760000        1.17788        1.17791       0.760000        1.17788        1.17791    
   0.780000        1.16911        1.16915       0.780000        1.16911        1.16915    
   0.800000        1.15881        1.15884       0.800000        1.15881        1.15884    
   0.820000        1.14709        1.14712       0.820000        1.14709        1.14712    
   0.840000        1.13409        1.13411       0.840000        1.13409        1.13411    
   0.860000        1.11992        1.11994       0.860000        1.11992        1.11994    
   0.880000        1.10472        1.10474       0.880000        1.10472        1.10474    
   0.900000        1.08864        1.08865       0.900000        1.08864        1.08865    
   0.920000        1.07181        1.07182       0.920000        1.07181        1.07182    
   0.940000        1.05439        1.05440       0.940000        1.05439        1.05440    
   0.960000        1.03651        1.03652       0.960000        1.03651        1.03652    
   0.980000        1.01833        1.01833       0.980000        1.01833        1.01833    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
