#Time=   0.950000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200053E-01   0.200053E-01   0.200000E-01   0.200053E-01   0.200053E-01
   0.400000E-01   0.400106E-01   0.400106E-01   0.400000E-01   0.400106E-01   0.400106E-01
   0.600000E-01   0.600159E-01   0.600159E-01   0.600000E-01   0.600159E-01   0.600159E-01
   0.800000E-01   0.800210E-01   0.800211E-01   0.800000E-01   0.800210E-01   0.800211E-01
   0.100000       0.100026       0.100026       0.100000       0.100026       0.100026    
   0.120000       0.120031       0.120031       0.120000       0.120031       0.120031    
   0.140000       0.140036       0.140036       0.140000       0.140036       0.140036    
   0.160000       0.160041       0.160041       0.160000       0.160041       0.160041    
   0.180000       0.180045       0.180045       0.180000       0.180045       0.180045    
   0.200000       0.200050       0.200050       0.200000       0.200050       0.200050    
   0.220000       0.220054       0.220054       0.220000       0.220054       0.220054    
   0.240000       0.240058       0.240058       0.240000       0.240058       0.240058    
   0.260000       0.260062       0.260062       0.260000       0.260062       0.260062    
   0.280000       0.280065       0.280065       0.280000       0.280065       0.280065    
   0.300000       0.300068       0.300069       0.300000       0.300068       0.300069    
   0.320000       0.320071       0.320072       0.320000       0.320071       0.320072    
   0.340000       0.340074       0.340074       0.340000       0.340074       0.340074    
   0.360000       0.360077       0.360077       0.360000       0.360077       0.360077    
   0.380000       0.380079       0.380079       0.380000       0.380079       0.380079    
   0.400000       0.400080       0.400081       0.400000       0.400080       0.400081    
   0.420000       0.420082       0.420082       0.420000       0.420082       0.420082    
   0.440000       0.440083       0.440083       0.440000       0.440083       0.440083    
   0.460000       0.460084       0.460084       0.460000       0.460084       0.460084    
   0.480000       0.480084       0.480085       0.480000       0.480084       0.480085    
   0.500000       0.500085       0.500085       0.500000       0.500085       0.500085    
   0.520000       0.520084       0.520085       0.520000       0.520084       0.520085    
   0.540000       0.540084       0.540084       0.540000       0.540084       0.540084    
   0.560000       0.560083       0.560083       0.560000       0.560083       0.560083    
   0.580000       0.580082       0.580082       0.580000       0.580082       0.580082    
   0.600000       0.600080       0.600081       0.600000       0.600080       0.600081    
   0.620000       0.620079       0.620079       0.620000       0.620079       0.620079    
   0.640000       0.640077       0.640077       0.640000       0.640077       0.640077    
   0.660000       0.660074       0.660074       0.660000       0.660074       0.660074    
   0.680000       0.680071       0.680072       0.680000       0.680071       0.680072    
   0.700000       0.700068       0.700069       0.700000       0.700068       0.700069    
   0.720000       0.720065       0.720065       0.720000       0.720065       0.720065    
   0.740000       0.740062       0.740062       0.740000       0.740062       0.740062    
   0.760000       0.760058       0.760058       0.760000       0.760058       0.760058    
   0.780000       0.780054       0.780054       0.780000       0.780054       0.780054    
   0.800000       0.800050       0.800050       0.800000       0.800050       0.800050    
   0.820000       0.820045       0.820045       0.820000       0.820045       0.820045    
   0.840000       0.840041       0.840041       0.840000       0.840041       0.840041    
   0.860000       0.860036       0.860036       0.860000       0.860036       0.860036    
   0.880000       0.880031       0.880031       0.880000       0.880031       0.880031    
   0.900000       0.900026       0.900026       0.900000       0.900026       0.900026    
   0.920000       0.920021       0.920021       0.920000       0.920021       0.920021    
   0.940000       0.940016       0.940016       0.940000       0.940016       0.940016    
   0.960000       0.960011       0.960011       0.960000       0.960011       0.960011    
   0.980000       0.980005       0.980005       0.980000       0.980005       0.980005    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
