#Time=    1.10000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200012E-01   0.200012E-01   0.200000E-01   0.200012E-01   0.200012E-01
   0.400000E-01   0.400024E-01   0.400024E-01   0.400000E-01   0.400024E-01   0.400024E-01
   0.600000E-01   0.600036E-01   0.600036E-01   0.600000E-01   0.600036E-01   0.600036E-01
   0.800000E-01   0.800048E-01   0.800048E-01   0.800000E-01   0.800048E-01   0.800048E-01
   0.100000       0.100006       0.100006       0.100000       0.100006       0.100006    
   0.120000       0.120007       0.120007       0.120000       0.120007       0.120007    
   0.140000       0.140008       0.140008       0.140000       0.140008       0.140008    
   0.160000       0.160009       0.160009       0.160000       0.160009       0.160009    
   0.180000       0.180010       0.180010       0.180000       0.180010       0.180010    
   0.200000       0.200011       0.200011       0.200000       0.200011       0.200011    
   0.220000       0.220012       0.220012       0.220000       0.220012       0.220012    
   0.240000       0.240013       0.240013       0.240000       0.240013       0.240013    
   0.260000       0.260014       0.260014       0.260000       0.260014       0.260014    
   0.280000       0.280015       0.280015       0.280000       0.280015       0.280015    
   0.300000       0.300016       0.300016       0.300000       0.300016       0.300016    
   0.320000       0.320016       0.320016       0.320000       0.320016       0.320016    
   0.340000       0.340017       0.340017       0.340000       0.340017       0.340017    
   0.360000       0.360017       0.360017       0.360000       0.360017       0.360017    
   0.380000       0.380018       0.380018       0.380000       0.380018       0.380018    
   0.400000       0.400018       0.400018       0.400000       0.400018       0.400018    
   0.420000       0.420019       0.420019       0.420000       0.420019       0.420019    
   0.440000       0.440019       0.440019       0.440000       0.440019       0.440019    
   0.460000       0.460019       0.460019       0.460000       0.460019       0.460019    
   0.480000       0.480019       0.480019       0.480000       0.480019       0.480019    
   0.500000       0.500019       0.500019       0.500000       0.500019       0.500019    
   0.520000       0.520019       0.520019       0.520000       0.520019       0.520019    
   0.540000       0.540019       0.540019       0.540000       0.540019       0.540019    
   0.560000       0.560019       0.560019       0.560000       0.560019       0.560019    
   0.580000       0.580019       0.580019       0.580000       0.580019       0.580019    
   0.600000       0.600018       0.600018       0.600000       0.600018       0.600018    
   0.620000       0.620018       0.620018       0.620000       0.620018       0.620018    
   0.640000       0.640017       0.640017       0.640000       0.640017       0.640017    
   0.660000       0.660017       0.660017       0.660000       0.660017       0.660017    
   0.680000       0.680016       0.680016       0.680000       0.680016       0.680016    
   0.700000       0.700016       0.700016       0.700000       0.700016       0.700016    
   0.720000       0.720015       0.720015       0.720000       0.720015       0.720015    
   0.740000       0.740014       0.740014       0.740000       0.740014       0.740014    
   0.760000       0.760013       0.760013       0.760000       0.760013       0.760013    
   0.780000       0.780012       0.780012       0.780000       0.780012       0.780012    
   0.800000       0.800011       0.800011       0.800000       0.800011       0.800011    
   0.820000       0.820010       0.820010       0.820000       0.820010       0.820010    
   0.840000       0.840009       0.840009       0.840000       0.840009       0.840009    
   0.860000       0.860008       0.860008       0.860000       0.860008       0.860008    
   0.880000       0.880007       0.880007       0.880000       0.880007       0.880007    
   0.900000       0.900006       0.900006       0.900000       0.900006       0.900006    
   0.920000       0.920005       0.920005       0.920000       0.920005       0.920005    
   0.940000       0.940004       0.940004       0.940000       0.940004       0.940004    
   0.960000       0.960002       0.960002       0.960000       0.960002       0.960002    
   0.980000       0.980001       0.980001       0.980000       0.980001       0.980001    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
