# Iteration  RMSerrUS  RMSerrSS
     1   0.115879E-06   0.713581    
     2   0.231530E-06   0.712877    
     3   0.346952E-06   0.712174    
     4   0.462147E-06   0.711471    
     5   0.577113E-06   0.710769    
     6   0.691853E-06   0.710068    
     7   0.806365E-06   0.709367    
     8   0.920651E-06   0.708667    
     9   0.103471E-05   0.707968    
    10   0.114854E-05   0.707270    
    11   0.126215E-05   0.706572    
    12   0.137554E-05   0.705875    
    13   0.148869E-05   0.705178    
    14   0.160163E-05   0.704482    
    15   0.171434E-05   0.703787    
    16   0.182682E-05   0.703093    
    17   0.193908E-05   0.702399    
    18   0.205112E-05   0.701706    
    19   0.216293E-05   0.701014    
    20   0.227453E-05   0.700322    
    21   0.238590E-05   0.699631    
    22   0.249705E-05   0.698941    
    23   0.260797E-05   0.698251    
    24   0.271868E-05   0.697562    
    25   0.282916E-05   0.696874    
    26   0.293943E-05   0.696187    
    27   0.304947E-05   0.695500    
    28   0.315929E-05   0.694814    
    29   0.326890E-05   0.694128    
    30   0.337828E-05   0.693443    
    31   0.348745E-05   0.692759    
    32   0.359639E-05   0.692076    
    33   0.370512E-05   0.691393    
    34   0.381363E-05   0.690711    
    35   0.392192E-05   0.690029    
    36   0.403000E-05   0.689348    
    37   0.413786E-05   0.688668    
    38   0.424550E-05   0.687989    
    39   0.435292E-05   0.687310    
    40   0.446013E-05   0.686632    
    41   0.456713E-05   0.685954    
    42   0.467390E-05   0.685278    
    43   0.478047E-05   0.684601    
    44   0.488681E-05   0.683926    
    45   0.499295E-05   0.683251    
    46   0.509887E-05   0.682577    
    47   0.520457E-05   0.681904    
    48   0.531006E-05   0.681231    
    49   0.541534E-05   0.680559    
    50   0.552041E-05   0.679887    
    51   0.562526E-05   0.679216    
    52   0.572990E-05   0.678546    
    53   0.583433E-05   0.677877    
    54   0.593855E-05   0.677208    
    55   0.604255E-05   0.676540    
    56   0.614635E-05   0.675872    
    57   0.624993E-05   0.675205    
    58   0.635331E-05   0.674539    
    59   0.645647E-05   0.673874    
    60   0.655943E-05   0.673209    
    61   0.666217E-05   0.672545    
    62   0.676471E-05   0.671881    
    63   0.686703E-05   0.671218    
    64   0.696915E-05   0.670556    
    65   0.707106E-05   0.669894    
    66   0.717276E-05   0.669233    
    67   0.727426E-05   0.668573    
    68   0.737554E-05   0.667914    
    69   0.747663E-05   0.667255    
    70   0.757750E-05   0.666596    
    71   0.767817E-05   0.665938    
    72   0.777863E-05   0.665281    
    73   0.787888E-05   0.664625    
    74   0.797893E-05   0.663969    
    75   0.807878E-05   0.663314    
    76   0.817842E-05   0.662660    
    77   0.827786E-05   0.662006    
    78   0.837709E-05   0.661353    
    79   0.847612E-05   0.660700    
    80   0.857494E-05   0.660048    
    81   0.867356E-05   0.659397    
    82   0.877198E-05   0.658747    
    83   0.887020E-05   0.658097    
    84   0.896821E-05   0.657447    
    85   0.906602E-05   0.656799    
    86   0.916363E-05   0.656151    
    87   0.926104E-05   0.655503    
    88   0.935825E-05   0.654857    
    89   0.945525E-05   0.654210    
    90   0.955206E-05   0.653565    
    91   0.964867E-05   0.652920    
    92   0.974507E-05   0.652276    
    93   0.984128E-05   0.651632    
    94   0.993728E-05   0.650989    
    95   0.100331E-04   0.650347    
    96   0.101287E-04   0.649706    
    97   0.102241E-04   0.649065    
    98   0.103193E-04   0.648424    
    99   0.104143E-04   0.647784    
   100   0.105092E-04   0.647145    
   101   0.106038E-04   0.646507    
   102   0.106982E-04   0.645869    
   103   0.107924E-04   0.645232    
   104   0.108865E-04   0.644595    
   105   0.109803E-04   0.643959    
   106   0.110739E-04   0.643324    
   107   0.111674E-04   0.642689    
   108   0.112606E-04   0.642055    
   109   0.113537E-04   0.641421    
   110   0.114465E-04   0.640789    
   111   0.115392E-04   0.640156    
   112   0.116317E-04   0.639525    
   113   0.117239E-04   0.638894    
   114   0.118160E-04   0.638263    
   115   0.119079E-04   0.637634    
   116   0.119996E-04   0.637005    
   117   0.120911E-04   0.636376    
   118   0.121824E-04   0.635748    
   119   0.122735E-04   0.635121    
   120   0.123645E-04   0.634494    
   121   0.124552E-04   0.633868    
   122   0.125458E-04   0.633243    
   123   0.126361E-04   0.632618    
   124   0.127263E-04   0.631994    
   125   0.128163E-04   0.631370    
   126   0.129060E-04   0.630747    
   127   0.129956E-04   0.630125    
   128   0.130850E-04   0.629503    
   129   0.131743E-04   0.628882    
   130   0.132633E-04   0.628262    
   131   0.133521E-04   0.627642    
   132   0.134408E-04   0.627023    
   133   0.135292E-04   0.626404    
   134   0.136175E-04   0.625786    
   135   0.137056E-04   0.625169    
   136   0.137935E-04   0.624552    
   137   0.138812E-04   0.623936    
   138   0.139688E-04   0.623320    
   139   0.140561E-04   0.622705    
   140   0.141433E-04   0.622091    
   141   0.142302E-04   0.621477    
   142   0.143170E-04   0.620864    
   143   0.144036E-04   0.620251    
   144   0.144900E-04   0.619639    
   145   0.145763E-04   0.619028    
   146   0.146623E-04   0.618417    
   147   0.147482E-04   0.617807    
   148   0.148338E-04   0.617197    
   149   0.149193E-04   0.616588    
   150   0.150046E-04   0.615980    
   151   0.150898E-04   0.615372    
   152   0.151747E-04   0.614765    
   153   0.152595E-04   0.614159    
   154   0.153441E-04   0.613553    
   155   0.154285E-04   0.612947    
   156   0.155127E-04   0.612343    
   157   0.155967E-04   0.611738    
   158   0.156806E-04   0.611135    
   159   0.157643E-04   0.610532    
   160   0.158478E-04   0.609930    
   161   0.159311E-04   0.609328    
   162   0.160142E-04   0.608727    
   163   0.160972E-04   0.608126    
   164   0.161799E-04   0.607526    
   165   0.162625E-04   0.606927    
   166   0.163450E-04   0.606328    
   167   0.164272E-04   0.605730    
   168   0.165093E-04   0.605132    
   169   0.165912E-04   0.604535    
   170   0.166729E-04   0.603938    
   171   0.167544E-04   0.603343    
   172   0.168357E-04   0.602747    
   173   0.169169E-04   0.602153    
   174   0.169979E-04   0.601558    
   175   0.170787E-04   0.600965    
   176   0.171594E-04   0.600372    
   177   0.172399E-04   0.599780    
   178   0.173202E-04   0.599188    
   179   0.174003E-04   0.598597    
   180   0.174802E-04   0.598006    
   181   0.175600E-04   0.597416    
   182   0.176396E-04   0.596827    
   183   0.177190E-04   0.596238    
   184   0.177983E-04   0.595650    
   185   0.178773E-04   0.595062    
   186   0.179562E-04   0.594475    
   187   0.180350E-04   0.593888    
   188   0.181135E-04   0.593302    
   189   0.181919E-04   0.592717    
   190   0.182701E-04   0.592132    
   191   0.183482E-04   0.591548    
   192   0.184260E-04   0.590964    
   193   0.185037E-04   0.590381    
   194   0.185812E-04   0.589799    
   195   0.186586E-04   0.589217    
   196   0.187358E-04   0.588635    
   197   0.188128E-04   0.588055    
   198   0.188896E-04   0.587474    
   199   0.189663E-04   0.586895    
   200   0.190428E-04   0.586316    
   201   0.191191E-04   0.585737    
   202   0.191953E-04   0.585159    
   203   0.192713E-04   0.584582    
   204   0.193471E-04   0.584005    
   205   0.194228E-04   0.583429    
   206   0.194983E-04   0.582853    
   207   0.195736E-04   0.582278    
   208   0.196488E-04   0.581704    
   209   0.197237E-04   0.581130    
   210   0.197986E-04   0.580557    
   211   0.198732E-04   0.579984    
   212   0.199477E-04   0.579412    
   213   0.200220E-04   0.578840    
   214   0.200962E-04   0.578269    
   215   0.201702E-04   0.577698    
   216   0.202440E-04   0.577128    
   217   0.203177E-04   0.576559    
   218   0.203911E-04   0.575990    
   219   0.204645E-04   0.575422    
   220   0.205376E-04   0.574854    
   221   0.206106E-04   0.574287    
   222   0.206835E-04   0.573720    
   223   0.207561E-04   0.573154    
   224   0.208287E-04   0.572589    
   225   0.209010E-04   0.572024    
   226   0.209732E-04   0.571459    
   227   0.210452E-04   0.570895    
   228   0.211171E-04   0.570332    
   229   0.211887E-04   0.569770    
   230   0.212603E-04   0.569207    
   231   0.213317E-04   0.568646    
   232   0.214029E-04   0.568085    
   233   0.214739E-04   0.567524    
   234   0.215448E-04   0.566964    
   235   0.216155E-04   0.566405    
   236   0.216861E-04   0.565846    
   237   0.217565E-04   0.565288    
   238   0.218267E-04   0.564730    
   239   0.218968E-04   0.564173    
   240   0.219667E-04   0.563616    
   241   0.220365E-04   0.563060    
   242   0.221061E-04   0.562505    
   243   0.221756E-04   0.561950    
   244   0.222449E-04   0.561395    
   245   0.223140E-04   0.560841    
   246   0.223830E-04   0.560288    
   247   0.224518E-04   0.559735    
